english_text,french_text,predicted_french_text
Go.,Va !,AXFP  À QQ  8n UnQK UCnF 8n ÀwnO n QHKH H 
Run!,Cours !,7àb0à K$h$yàê2 Ê2yyïïOtryrà U$tàebà Q$0r29àïï À$$h2êà9r3à 
Run!,Courez !,"Xbr$b2 Êr 7àb0,2 n9àyràb2 Q0h  "
Wow!,Ça alors !,7àb0à K$h$yàê2 82yyïïO9êRêrà O 82y îà»r$ û Q$0r29àïï À$$h2êà9r3à 5rb 7ê232 7àb0à29êRêrà Q$0r29àïï À$$h2êà9r3àÔ 
Fire!,Au feu !,ÀFCCOUÀn î 7 Aë FM ëX  n  
Help!,À l'aide !,ëX  n  nA OUA  nFA î 7 Aë 
Jump.,Saute., î  wîn 7 Aë FM ëX  n  5ëHQHÀÔ 
Stop!,Ça suffit !,K H 7 Aë  U w  qU w  nA OUA QnFA î  7ë 
Stop!,Stop !,UàG$Gàbx A2Ê2êyàbÊ 
Stop!,Arrête-toi !,7 AÀF Q A  A8OU 5COmnÀFÔS QH H nAQ n XÀnFA 8O 7 AÀ  CXî nKîOS qUXKF MnA AÀnOUF Q A  A8OU COmnÀF 
Wait!,Attends !,ëX  n  KUFgOÀ Q ÀFCK A: wFî8nAq 
Wait!,Attendez !, î ëw îng ÀFCCOUÀn î 7 Aë 
I see.,Je comprends.,gnw QXA nA OUA  nFA î 7 Aë  
I try.,J'essaye.,"O0$""à& 7àbx 6$ê nb32&9t2b9 àbÊ 8232y$ht2b95O7n8Ô "
I won!,J'ai gagné !,OAFÀ UO  nî îîÀ 
I won!,Je l'ai emporté !,7 AÀ  KFKFî UO 8n Cnî AF QFÀHÀFFKH  UHîH 
Oh no!,Oh non !, wO wFëXUnëX 7 Aë î 8 
Attack!,Attaque !,7 AÀF 7KC QHKH H 
Attack!,Attaquez !,gFnA  Q FÀë ÀFCK A: U nMMOnQOA7 Aë 
Cheers!,Santé !, FUî8 PnQnFA nA OUA  nFA î 
Cheers!,À votre santé !,PFîëQ  qOA nA OUA  nFA î 7OîqnXC QFÀnO O  AFA:CO 
Cheers!,Merci !, wO UF: î 7 Aë FM QÀF î A8 KX7înÀ înCn O8 ÀFCK A: 
Get up.,Lève-toi.,U 8       UXQ  
Got it!,J'ai pigé !,wQ7À Mêàb02 Q  
Got it!,Compris !,MU AÀO  OîOÀFC QH H 
Got it?,Pigé ?,AXFP  À QQ  8n UnQK UCnF 8n MOUU U  QFÀnO  ïï KOU  InFAn 
Got it?,Compris ?,7 AÀ  qOAOU în QK  
Got it?,T'as capté ?,A  nFA î 7 Aë FM ëX  n  û Oq:K  5A7ëÔ 
Hop in.,Monte.,"Aà9r$bày 7àbx $6 Xtt  y dàr""àrb "
Hop in.,Montez.,7 Aë g Q MU  Q U QnA 
Hug me.,Serre-moi dans tes bras !,FUnOA  OmÀw AqO ÀFH5îHîHÀHÔ 
Hug me.,Serrez-moi dans vos bras !, wO QwFëF ÀwXënA 7 AëS î 8 
I fell.,Je suis tombée.,"82R9&0,2  &&29 Càbàe2t2b9 nb92êbà9r$bày qC7w "
I fell.,Je suis tombé.,"U$kày 7àbx $6 Q0$9yàbÊ AHPH 5 ,2Ô "
I know.,Je sais.," ,2 7àbx $6  $xk$ûCr9&RGr&,r XMgS î9ÊH "
I left.,Je suis parti., OëQ nî7 Aë 
I left.,Je suis partie.,M$$Ê àbÊ  eêr0Ry9Rê2 Fêeàbr»à9r$b 
I lost.,J'ai perdu.,À nm 7 Aë QH H 5î  À nm Ô 
I'm 19.,J'ai 19 ans.,7 AÀ  KFKFî UO 8n 7 Un QFÀnO  ïï ÀFFKOU  nP  KOU  InFAn 
I'm OK.,Je vais bien.,ÀUO8n F P î OîînAOQO 
I'm OK.,Ça va.,Àê2Êr9 îk$bbàr&  
Listen.,Écoutez !,ÀUO8nÀFUK 7 Aë K A C H 
No way!,Impossible !,82jrà 7àbx 72yerRt Q  
No way!,En aucun cas.,"À,rbà nb92êbà9r$bày Càêrb2 À$b9àrb2ê& 5qê$RhÔ À$ î9Ê "
No way!,C'est hors de question !,X O OmÀw AqO ÀOA UO ÀFH û 7 wU nA  HîHî 
No way!,Il n'en est pas question !,MnUQ   7X 8w 7n 7 Aë QOÀXUn nOQ îîÀ 
No way!,C'est exclu !,w 7n7QFAQ 7 Aë î 8 
No way!,En aucune manière !,Qw Ug w ÀOCOA  c nA8XQ Un î 8OPOîFKCOA  HÀFH 
No way!,Hors de question !,À  w : XAn O8 7 AëS   n  A 
Really?,Vraiment ?,"K c F Càbàe2t2b9 Q2ê3r02& K,ry&HS nb0H "
Really?,Vrai ?,7 AÀ  KFKFî UO 8n  AÀFA  Q K   
Really?,Ah bon ?,"n9,tààê 7àbx 7HQHÀH 5Ày$&2ÊÔ  "
Thanks.,Merci !,7 UÀî :Q 7 Aë Oq:K  Q   O 
We try.,On essaye.,ëR32k9  Rêx ëà9ryrt 7àbxà&r  Q 
We won.,Nous avons gagné.,URêày Cr0ê$6rbàb02 8232y$ht2b9 À2b9ê2 î9ÊH 
We won.,Nous gagnâmes.,Aà9r$bày 7àbx M$ê 8232y$ht2b9 
We won.,Nous l'avons emporté.,KUnPUO8A  7 Aë  I qUO7 8H8 
We won.,Nous l'emportâmes.,7 Aë I ÀwF8An  7ë Q  
Ask Tom.,Demande à Tom., îM ûî P î5nA8n Ô înCn O8 
Awesome!,Fantastique !,À  wFînÀ Q:Un A 7 Aë î 8  
Be calm.,Sois calme !,ënQ  7 Aë înCn O8 
Be calm.,Soyez calme !,w gn w QQ A qUFXK 7HQHÀ ÀîFQO8 
Be calm.,Soyez calmes !,qwX7 Qw  U 8nAq c nAPOQ COA  ÀFH î 8H 5îHîHÀHÔ 
